crop,category,N,P,K,temperature,humidity,ph,rainfall,soil_type,season,water_avail,state
pineapple,horticulture,57.0,30.0,46.0,30.4,91.2,4.73,133.7,laterite,kharif,irrigated,Assam
mango,horticulture,27.0,27.0,55.0,37.5,59.5,5.56,94.6,loamy,kharif,rainfed,Bihar
sugarcane,cash,106.0,59.0,96.0,23.2,73.9,6.46,166.5,black,kharif,rainfed,Maharashtra
pomegranate,horticulture,34.0,25.0,30.0,35.0,44.1,8.33,58.8,loamy,kharif,rainfed,Karnataka
maize,cereal,64.0,44.0,61.0,31.7,59.8,6.52,57.5,red,kharif,rainfed,Karnataka
mothbeans,pulse,10.0,38.0,17.0,28.8,40.7,7.97,30.6,sandy,kharif,irrigated,Rajasthan
rubber,plantation,19.0,20.0,43.0,27.5,92.0,5.51,247.2,laterite,kharif,irrigated,Tamil Nadu
tea,plantation,39.0,20.0,23.0,17.6,96.6,5.84,235.9,laterite,kharif,rainfed,Assam
ginger,spice,81.0,57.0,51.0,19.0,72.4,6.55,153.5,loamy,kharif,irrigated,Arunachal Pradesh
pigeonpeas,pulse,34.0,51.0,31.0,35.1,60.6,6.01,63.9,loamy,kharif,rainfed,Madhya Pradesh
maize,cereal,61.0,32.0,55.0,21.2,61.0,6.6,114.0,loamy,rabi,irrigated,Rajasthan
muskmelon,horticulture,54.0,49.0,66.0,29.5,75.8,6.25,60.5,sandy,zaid,irrigated,Uttar Pradesh
grapes,horticulture,24.0,37.0,34.0,27.5,70.6,7.19,90.6,black,rabi,rainfed,Tamil Nadu
jasmine,flower,61.0,31.0,55.0,32.7,55.9,7.14,100.9,sandy,kharif,irrigated,Karnataka
rice,cereal,120.0,55.0,33.0,19.8,89.7,6.78,201.2,clay,kharif,irrigated,Odisha
coffee,plantation,82.0,34.0,50.0,17.7,90.2,7.17,200.8,loamy,kharif,irrigated,Andhra Pradesh
sesame,oilseed,28.0,48.0,41.0,36.4,41.5,6.85,46.5,loamy,kharif,rainfed,West Bengal
maize,cereal,64.0,54.0,46.0,19.7,60.2,6.34,126.5,loamy,rabi,rainfed,Karnataka
cotton,cash,94.0,47.0,41.0,33.1,65.9,7.69,125.1,loamy,kharif,rainfed,Haryana
cabbage,vegetable,95.0,56.0,62.0,12.2,87.9,6.91,152.4,loamy,rabi,rainfed,Assam
potato,vegetable,101.0,48.0,111.0,9.3,82.5,5.89,126.6,loamy,rabi,rainfed,Bihar
marigold,flower,74.0,49.0,40.0,27.4,73.1,7.38,86.9,alluvial,kharif,rainfed,Maharashtra
tea,plantation,19.0,23.0,28.0,18.4,96.3,5.43,220.9,loamy,kharif,rainfed,West Bengal
wheat,cereal,152.0,81.0,47.0,14.8,67.3,7.14,100.1,loamy,rabi,rainfed,Punjab
grapes,horticulture,29.0,39.0,30.0,15.3,54.3,7.59,99.5,loamy,rabi,irrigated,Maharashtra
okra,vegetable,45.0,32.0,34.0,28.5,76.8,6.28,101.2,sandy,kharif,rainfed,Andhra Pradesh
cabbage,vegetable,129.0,65.0,74.0,23.7,91.5,6.89,103.4,loamy,rabi,rainfed,West Bengal
watermelon,horticulture,72.0,53.0,60.0,25.0,76.4,6.34,60.6,red,zaid,irrigated,Maharashtra
pineapple,horticulture,40.0,30.0,41.0,33.6,90.0,4.92,246.3,sandy,kharif,rainfed,West Bengal
sesame,oilseed,33.0,36.0,22.0,36.0,66.1,6.05,65.4,red,kharif,irrigated,Gujarat
chickpea,pulse,26.0,51.0,53.0,23.2,53.3,6.54,56.7,black,rabi,rainfed,Karnataka
papaya,horticulture,86.0,41.0,55.0,39.8,66.8,7.15,94.6,sandy,kharif,rainfed,Gujarat
rose,flower,62.0,62.0,74.0,22.8,60.1,6.9,123.5,loamy,rabi,irrigated,Himachal Pradesh
okra,vegetable,59.0,56.0,43.0,34.8,67.5,7.06,121.0,loamy,kharif,rainfed,Gujarat
kidneybeans,pulse,22.0,72.0,43.0,21.0,64.4,7.12,112.5,alluvial,kharif,rainfed,Jammu & Kashmir
jasmine,flower,53.0,35.0,41.0,26.9,78.7,6.32,132.2,loamy,kharif,rainfed,Maharashtra
sugarcane,cash,115.0,49.0,83.0,27.7,94.9,6.13,130.9,loamy,kharif,rainfed,Karnataka
ginger,spice,74.0,54.0,53.0,23.3,76.9,7.33,119.6,alluvial,kharif,rainfed,Karnataka
barley,cereal,61.0,50.0,52.0,15.6,69.0,6.81,73.8,loamy,rabi,irrigated,Haryana
jowar,millet,60.0,20.0,51.0,33.6,46.3,7.8,93.8,loamy,rabi,rainfed,Rajasthan
mustard,oilseed,78.0,40.0,35.0,18.0,67.1,6.71,28.3,sandy,rabi,rainfed,Rajasthan
cocoa,plantation,32.0,35.0,30.0,32.5,96.0,6.94,268.9,alluvial,kharif,irrigated,Tamil Nadu
pineapple,horticulture,29.0,42.0,29.0,36.1,76.6,6.14,265.6,loamy,kharif,rainfed,Karnataka
rice,cereal,128.0,48.0,32.0,36.7,87.1,5.72,144.7,clay,kharif,rainfed,Punjab
tobacco,cash,40.0,51.0,33.0,33.0,64.7,5.76,77.9,sandy,rabi,rainfed,Bihar
okra,vegetable,37.0,32.0,49.0,29.2,81.5,6.86,81.4,alluvial,kharif,irrigated,Andhra Pradesh
cowpea,pulse,26.0,32.0,36.0,34.1,77.5,7.29,106.4,sandy,zaid,irrigated,Karnataka
soybean,oilseed,36.0,66.0,64.0,22.9,85.3,6.98,91.1,black,kharif,rainfed,Maharashtra
cauliflower,vegetable,112.0,60.0,52.0,20.9,77.5,6.35,125.4,loamy,rabi,rainfed,Maharashtra
mothbeans,pulse,25.0,33.0,24.0,39.1,44.9,8.76,24.7,sandy,kharif,rainfed,Rajasthan
tea,plantation,36.0,21.0,24.0,11.5,90.6,4.79,279.1,red,kharif,irrigated,Kerala
kidneybeans,pulse,25.0,69.0,43.0,15.3,66.8,7.11,123.1,loamy,kharif,irrigated,Uttarakhand
watermelon,horticulture,65.0,58.0,59.0,34.1,62.7,6.98,63.9,loamy,kharif,rainfed,Karnataka
lentil,pulse,28.0,31.0,25.0,25.6,44.1,6.99,44.9,loamy,rabi,rainfed,Uttar Pradesh
coriander,spice,44.0,58.0,30.0,14.6,50.3,7.17,63.4,alluvial,rabi,rainfed,Gujarat
cabbage,vegetable,75.0,75.0,68.0,18.0,87.3,6.59,85.5,alluvial,rabi,irrigated,Odisha
sapota,horticulture,29.0,35.0,58.0,27.3,55.9,6.29,132.2,loamy,kharif,irrigated,Karnataka
bajra,millet,49.0,27.0,45.0,25.6,50.9,8.35,30.0,sandy,kharif,irrigated,Uttar Pradesh
jowar,millet,59.0,42.0,32.0,26.1,34.8,6.09,42.4,loamy,kharif,rainfed,Maharashtra
marigold,flower,44.0,39.0,52.0,19.8,73.0,6.77,102.0,sandy,kharif,rainfed,Andhra Pradesh
mothbeans,pulse,20.0,43.0,31.0,39.9,51.8,8.1,32.2,sandy,kharif,rainfed,Rajasthan
cocoa,plantation,43.0,37.0,53.0,23.0,80.6,6.65,149.5,alluvial,kharif,rainfed,Tamil Nadu
ginger,spice,59.0,35.0,50.0,19.1,90.9,7.08,142.8,loamy,kharif,irrigated,Arunachal Pradesh
mustard,oilseed,96.0,47.0,34.0,19.6,50.0,7.12,29.6,loamy,rabi,rainfed,Haryana
coconut,plantation,20.0,22.0,49.0,37.6,77.1,7.48,146.5,loamy,kharif,rainfed,West Bengal
sunflower,oilseed,80.0,80.0,76.0,18.2,61.2,7.97,60.7,alluvial,rabi,rainfed,Orissa
arecanut,plantation,36.0,24.0,101.0,20.4,80.3,7.22,258.5,loamy,kharif,rainfed,West Bengal
